1|2|3|2|1|2019-04-12|3-2
2|3|4|3|1|2019-04-26|3-17
3|4|7|4|1|2019-05-07|5-6
4|10|9|10|1|2019-05-21|9-4
5|9|8|9|1|2019-06-05|2-1
6|7|6|7|1|2019-06-19|1-5
7|6|5|6|1|2019-07-15|8-0
8|1|4|1|1|2019-07-31|7-2
9|5|10|5|1|2019-08-02|9-10
10|8|1|8|1|2019-09-04|6-6
11|9|4|9|1|2019-10-05|0-8
12|1|9|1|2|2020-04-12|9-19
13|4|2|4|2|2020-04-26|10-2
14|5|10|5|2|2020-05-07|9-10
15|6|3|6|2|2020-05-21|4-5
16|2|5|2|2|2020-06-05|2-5
17|3|8|3|2|2020-06-19|6-2
18|7|6|7|2|2020-07-15|3-5
19|9|4|9|2|2020-07-31|4-6
20|10|8|10|2|2020-08-2|3-5
21|8|7|8|2|2020-09-04|11-14
22|3|7|3|2|2020-10-05|9-7
